QS201EW - Ethnic group,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 27 January 2023],,,,,,,,,,,,,,,,,,,
Population :,All usual residents,,,,,,,,,,,,,,,,,,
Units      :,Persons,,,,,,,,,,,,,,,,,,
Date       :,2011,,,,,,,,,,,,,,,,,,
Rural Urban:,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
Redbridge,E09000026,45660,31051,16011,3000,20781,12357,9064,3424,3204,1692,3251,3309,96253,3900,140,18353,1551,5969
Richmond upon Thames,E09000027,5202,1163,867,1753,4622,1643,840,333,1250,731,2857,1942,133582,4766,95,22282,1172,1890
Sutton,E09000029,6454,2595,1183,2240,9563,5471,2742,907,2298,838,2286,1712,134854,3219,193,11183,976,1432
Waltham Forest,E09000031,9134,26347,4632,2579,11697,18815,18841,7135,4568,2403,2602,4193,92999,3959,369,37472,3776,6728
Bracknell Forest,E06000036,1989,518,134,556,2467,1586,402,201,656,297,808,542,96080,984,118,5372,201,294
Brighton and Hove,E06000043,2996,649,1367,2999,3267,2893,879,416,2182,2019,3351,2856,220018,3772,198,19524,2184,1799
Isle of Wight,E06000046,435,80,131,219,649,141,115,47,507,123,738,341,131099,747,94,2605,52,142
Medway,E06000035,7132,1516,1304,1065,2598,4742,1428,493,1730,735,1546,1165,225654,1946,510,8469,517,1375
Milton Keynes,E06000042,8106,3851,1989,2722,6114,13058,2524,1549,2243,1597,2228,2167,183934,2498,72,12590,565,1014
Portsmouth,E06000044,2911,539,3649,2611,2764,2958,540,279,1103,935,2381,1048,172313,1071,85,7713,1078,1078
Reading,E06000038,6514,6967,695,1603,5382,6087,3279,1104,2718,802,1428,1232,101725,2269,90,12303,680,820
Slough,E06000039,21922,24869,549,797,7560,7548,3096,1471,1667,607,1429,1055,48401,1607,220,13825,928,2654
Southampton,E06000045,6742,3019,1401,3449,5281,3508,1132,427,1678,941,1796,1263,183980,1746,341,17461,1312,1405
West Berkshire,E06000037,1675,473,225,659,776,701,514,161,776,262,831,551,139044,1284,164,5362,139,225
Windsor and Maidenhead,E06000040,5860,4238,393,1071,2286,1039,473,213,679,358,1399,879,112081,2055,219,10150,379,788
Wokingham,E06000041,5331,2865,222,1203,1817,1203,712,178,890,337,1273,682,129119,1367,291,5748,500,642
Aylesbury Vale,E07000004,1872,5408,201,636,1988,1676,1302,345,1518,461,1077,808,148360,1573,134,6012,339,427
Chiltern,E07000005,1799,1772,120,442,913,258,213,53,380,190,998,472,79579,1118,121,3931,58,218
South Bucks,E07000006,4758,965,171,527,1112,354,278,77,416,119,720,352,51541,1133,256,3435,174,479
Wycombe,E07000007,2939,13091,597,949,3009,1744,3382,808,2259,328,1330,932,130313,1553,103,7508,282,517
Eastbourne,E07000061,671,107,287,621,1109,517,159,107,434,302,572,483,86903,978,66,5561,229,306
Hastings,E07000062,487,78,276,366,919,639,303,123,595,277,585,491,80624,702,150,3155,161,323
Lewes,E07000063,360,64,153,316,507,248,123,45,325,155,460,335,90218,757,97,3087,97,155
Rother,E07000064,276,16,109,217,485,181,76,48,267,107,405,252,85279,596,134,1942,72,126
Wealden,E07000065,459,52,217,411,580,215,110,18,326,182,562,358,139745,933,368,4127,79,173
Basingstoke and Deane,E07000084,2437,389,330,1221,2338,1259,470,180,1047,318,863,585,148078,1324,163,6323,138,336
East Hampshire,E07000085,481,31,165,316,866,396,81,40,312,153,513,327,107568,656,267,3144,141,151
Eastleigh,E07000086,1954,160,294,625,707,430,129,46,391,254,652,443,114873,602,191,2871,201,376
Fareham,E07000087,663,77,125,467,335,215,109,33,301,150,657,251,105663,475,85,1736,106,133
Gosport,E07000088,428,31,149,214,251,321,183,88,272,142,426,226,78001,313,32,1339,48,158
Hart,E07000089,880,141,136,435,856,266,178,62,311,152,685,309,82534,642,273,2906,100,167
Havant,E07000090,504,72,155,313,383,252,55,81,404,215,588,307,114919,532,64,1647,73,120
New Forest,E07000091,472,34,195,338,626,328,141,143,439,188,603,390,167445,829,423,3463,72,333
Rushmoor,E07000092,1310,635,206,497,7107,1115,538,215,624,342,644,447,75511,718,155,3136,134,473
Test Valley,E07000093,937,141,166,434,690,258,149,80,378,246,565,305,107743,537,153,3212,139,265
Winchester,E07000094,665,92,222,745,915,250,147,60,321,180,684,441,107070,733,263,3511,110,186
Ashford,E07000105,958,161,185,431,2256,948,327,100,544,235,507,396,105498,753,531,3738,87,301
Canterbury,E07000106,1448,306,251,1436,1694,1338,437,162,680,305,897,669,132269,1260,374,6717,405,497
Dartford,E07000107,2670,179,431,538,1981,2814,497,267,620,346,693,502,80466,767,244,3593,179,578
Dover,E07000108,397,40,151,274,1169,265,85,36,281,133,360,255,103848,572,234,3312,65,197
Gravesham,E07000109,7538,550,477,326,1713,2226,456,203,564,359,627,516,78422,791,320,4693,94,1845
Maidstone,E07000110,1226,340,381,461,2535,867,356,157,625,319,841,560,138235,955,838,5968,140,339
Sevenoaks,E07000111,712,106,146,500,621,569,204,80,424,176,682,393,104538,950,391,4150,84,167
Folkestone and Hythe,E07000112,413,93,226,281,2686,277,130,51,387,149,420,311,98029,745,164,3277,64,266
Swale,E07000113,545,107,206,233,398,993,277,125,533,225,441,376,126130,780,730,3515,47,174
Thanet,E07000114,738,184,178,450,954,585,239,86,720,329,598,539,121346,1026,187,5635,118,274
Tonbridge and Malling,E07000115,755,165,236,496,779,222,143,56,474,199,667,337,111662,760,350,3100,130,274
Tunbridge Wells,E07000116,736,175,513,552,927,419,142,77,414,222,787,470,103115,880,322,4922,122,254
Cherwell,E07000177,1681,2382,184,657,1135,1040,600,321,835,370,729,626,122491,1104,105,7061,145,402
Oxford,E07000178,4449,4825,1791,3559,4203,4456,1874,698,1721,703,2008,1603,96633,2431,92,18801,922,1137
South Oxfordshire,E07000179,814,194,179,443,775,445,241,82,506,168,690,437,122083,1092,135,5683,89,201
Vale of White Horse,E07000180,842,350,185,649,936,828,246,156,377,180,621,396,108599,956,109,5160,149,249
West Oxfordshire,E07000181,354,95,152,310,513,270,109,58,320,136,473,334,96995,708,182,3584,53,133
Elmbridge,E07000207,2489,555,504,1143,2384,620,272,118,521,347,1550,993,104508,2072,153,11390,597,659
Epsom and Ewell,E07000208,1828,667,325,922,2742,679,304,145,406,223,758,535,59049,1142,132,4179,538,528
Guildford,E07000209,1661,487,320,1884,2264,1162,336,158,432,288,1077,704,114510,1193,491,8513,923,780
Mole Valley,E07000210,707,152,206,358,754,207,131,61,276,117,518,346,76907,798,128,3335,148,226
Reigate and Banstead,E07000211,2192,1189,532,914,2165,1312,603,251,736,409,1111,781,117092,1554,179,6054,266,495
Runnymede,E07000212,2022,378,235,1173,1753,584,195,83,348,217,638,468,64397,1073,220,5943,365,418
Spelthorne,E07000213,4013,656,259,621,1746,971,419,155,575,316,905,586,77411,1366,192,4486,322,599
Surrey Heath,E07000214,1713,667,298,535,2176,528,253,80,370,171,696,389,73179,828,162,3523,184,392
Tandridge,E07000215,746,139,102,418,759,400,373,109,513,181,683,412,74095,865,286,2634,47,236
Waverley,E07000216,533,246,169,623,712,353,147,38,332,168,746,377,110190,1032,167,5328,162,249
Woking,E07000217,2328,5682,450,870,2132,1012,270,101,411,299,975,650,74335,1089,151,7351,549,543
Adur,E07000223,234,55,269,242,258,241,60,12,206,193,305,182,56843,426,121,1273,170,92
Arun,E07000224,498,107,367,412,732,313,160,65,426,221,532,323,137024,889,162,7043,72,172
Chichester,E07000225,470,36,131,339,641,319,129,70,269,158,361,304,105841,743,238,3500,102,143
Crawley,E07000226,5530,4548,427,496,2824,2164,465,840,806,615,883,794,76888,967,77,7248,424,601
Horsham,E07000227,734,165,209,472,1005,440,155,56,364,260,725,425,121020,904,234,3904,75,154
Mid Sussex,E07000228,1410,154,399,525,1273,487,201,100,378,277,805,507,126341,1235,142,5300,87,239
Worthing,E07000229,783,171,544,474,1400,605,169,95,437,337,658,404,93594,815,99,3628,151,276
Bath and North East Somerset,E06000022,1116,170,219,1912,1160,499,672,155,951,292,954,701,158640,1146,58,6629,375,367
Bournemouth,E06000028,1940,213,408,1840,2665,1208,380,176,1043,601,1396,1151,153752,1355,218,13472,693,980
"Bristol, City of",E06000023,6547,6863,2104,3886,4255,12085,6727,6922,7389,1533,3402,3114,333432,3851,359,21950,1272,2543
Cornwall,E06000052,837,107,280,1004,1206,292,368,102,1248,490,1553,1109,509628,2046,635,10539,189,640
Isles of Scilly,E06000053,0,0,0,0,2,1,1,0,3,3,9,3,2087,10,0,80,0,4
North Somerset,E06000024,817,111,299,619,590,383,188,61,681,256,698,398,190553,1113,176,5234,127,262
Plymouth,E06000026,875,202,359,1251,1219,1106,343,229,904,523,1028,832,238263,1105,153,6988,399,605
Poole,E06000029,1098,96,382,698,1002,329,119,72,491,246,680,499,135698,756,214,4855,127,283
South Gloucestershire,E06000025,2699,698,238,1312,1493,987,980,251,1516,396,1016,739,241611,1223,271,6469,366,502
Swindon,E06000030,6901,1292,936,954,3282,1718,807,336,1506,568,1163,989,177028,1852,180,8838,188,618
Torbay,E06000027,403,79,99,261,511,140,73,38,440,195,443,342,124162,657,37,2843,100,136
Wiltshire,E06000054,1547,215,595,1210,2611,1418,1151,659,1968,656,1667,1277,439725,2381,757,12108,288,748
East Devon,E07000040,220,6,71,210,423,68,61,17,238,89,358,219,127442,593,90,2222,35,95
Exeter,E07000041,946,164,227,1998,1260,492,128,47,403,278,773,484,104013,629,93,4855,659,324
Mid Devon,E07000042,116,7,18,167,120,64,17,13,132,69,169,114,74554,278,88,1776,4,44
North Devon,E07000043,215,67,78,152,323,63,70,25,294,75,287,129,89832,316,45,1549,61,86
South Hams,E07000044,115,12,64,102,165,73,36,12,161,75,264,153,79681,371,45,1687,70,54
Teignbridge,E07000045,165,17,78,347,286,48,52,17,255,92,323,255,119480,499,118,2066,26,96
Torridge,E07000046,39,3,17,126,86,11,34,6,141,53,125,110,61985,211,54,771,31,36
West Devon,E07000047,57,4,17,93,129,26,23,10,126,56,130,90,51603,233,21,873,27,35
Christchurch,E07000048,97,5,44,179,170,50,27,6,110,69,195,131,45414,299,48,830,15,63
East Dorset,E07000049,157,43,198,167,172,61,29,16,163,67,229,135,83876,371,171,1227,26,58
North Dorset,E07000050,111,11,76,128,470,108,65,24,136,78,216,122,64936,279,95,1667,14,47
Purbeck,E07000051,33,12,27,54,105,35,6,7,96,47,112,71,43253,228,89,770,6,22
West Dorset,E07000052,242,59,87,242,304,111,43,15,200,100,275,195,95011,500,104,1669,40,67
Weymouth and Portland,E07000053,97,21,93,173,256,153,125,43,247,70,185,151,61860,298,48,1274,15,58
Cheltenham,E07000078,1584,179,315,760,837,527,124,70,493,256,661,468,102140,1058,68,5818,172,202
Cotswold,E07000079,218,16,38,223,299,136,47,46,167,86,274,171,78284,503,87,2201,4,81
Forest of Dean,E07000080,159,25,1,129,159,99,58,42,170,82,181,95,79227,277,78,1117,5,57
Gloucester,E07000081,3204,639,490,448,1058,1100,1880,506,2139,316,551,559,102912,850,136,4564,119,217
Stroud,E07000082,177,28,53,193,300,96,125,39,364,129,428,295,107026,591,57,2752,33,93
Tewkesbury,E07000083,387,55,63,158,238,132,79,44,294,54,258,170,77010,480,305,2106,31,79
Mendip,E07000187,227,21,69,256,356,124,57,29,266,144,354,232,102987,596,246,3228,25,62
Sedgemoor,E07000188,144,34,150,139,268,76,54,10,285,105,278,201,109199,459,132,2934,34,86
South Somerset,E07000189,342,87,90,378,512,207,111,39,305,191,382,280,153123,550,148,4309,44,145
Taunton Deane,E07000190,324,59,108,448,669,190,62,34,266,183,322,239,103020,499,193,3404,63,104
West Somerset,E07000191,32,2,25,26,107,10,7,3,78,27,71,32,33229,153,14,832,9,18
Isle of Anglesey,W06000001,135,33,53,153,117,50,25,6,180,41,180,79,67349,476,65,630,134,45
Gwynedd,W06000002,461,220,176,905,408,195,70,24,287,126,332,219,115072,570,153,1778,700,178
Conwy,W06000003,317,101,134,376,324,114,54,31,294,124,275,201,109911,840,65,1733,200,134
Denbighshire,W06000004,240,157,111,346,576,104,35,22,251,80,269,151,89581,533,34,1106,39,99
Flintshire,W06000005,296,87,223,323,272,88,42,12,267,121,258,205,146185,693,95,3188,50,101
Wrexham,W06000006,857,181,206,426,651,526,57,42,264,180,326,240,125477,492,104,4574,96,145
Powys,W06000023,145,9,67,171,750,42,70,20,208,82,294,176,127773,502,128,2424,23,92
Ceredigion,W06000008,367,81,91,322,238,164,86,16,198,75,251,212,70717,478,74,2174,197,181
Pembrokeshire,W06000009,341,69,103,205,474,94,44,41,234,78,261,160,117092,834,454,1741,61,153
Carmarthenshire,W06000010,563,159,117,298,700,115,115,49,326,118,364,225,175591,754,335,3643,132,173
Swansea,W06000011,1477,591,1944,2052,1739,1707,172,104,548,280,781,551,218655,1101,85,4856,1694,686
Neath Port Talbot,W06000012,280,125,311,280,373,97,175,27,384,75,262,189,135450,474,125,1038,53,94
Bridgend,W06000013,337,122,114,356,620,152,121,42,338,120,264,276,133656,474,63,1897,75,151
Vale of Glamorgan,W06000014,566,216,121,454,610,165,252,72,629,247,431,388,119212,639,21,1966,174,173
Cardiff,W06000015,7886,6354,4838,4168,4639,5213,1322,1666,3641,1742,2459,2189,277798,2547,521,12248,4707,2152
Rhondda Cynon Taff,W06000016,656,267,106,1065,936,1140,99,69,550,192,420,344,225716,582,53,1890,160,165
Merthyr Tydfil,W06000024,168,50,45,120,313,118,10,15,154,46,151,111,55635,122,62,1572,32,78
Caerphilly,W06000018,327,123,32,495,369,121,112,9,454,147,296,277,173899,402,31,1513,67,132
Blaenau Gwent,W06000019,202,39,26,122,96,56,33,6,163,36,106,89,67954,102,72,622,12,78
Torfaen,W06000020,172,64,80,208,453,47,88,34,237,103,138,125,88209,307,155,560,14,81
Monmouthshire,W06000021,245,54,40,193,368,80,45,19,174,51,232,167,87762,395,6,1363,69,60
Newport,W06000022,1218,3127,1749,600,1292,1499,782,254,1318,360,669,405,126756,769,84,3416,926,512
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,,,,,,,,,,,,,
,have been swapped between different geographic areas. Some counts will,,,,,,,,,,,,,,,,,,
,"be affected, particularly small counts at the lowest geographies",,,,,,,,,,,,,,,,,,
